"Title","Player_Limit","Local_Limit","Genre","Subgenre","Release_Year","Online","Offline","Price"
"Dungeon Siege","8","1","Action","RPG","2002","Yes","Yes",""
"Dungeon Siege II","8","1","RPG","Action","2005","Yes","Yes",""
"Dying Light","4","1","FPS","Action","2015","Yes","No",""
"Dying Light: The Following","4","1","FPS","Survival","2016","Yes","Yes",""
"Dystopia","20","1","FPS","Action","2005","Yes","Yes","Free"
"E-Racer","8","1","Racing","Arcade","2001","Yes","Yes",""
"E.Y.E.: Divine Cybermancy","8","1","FPS","RPG","2011","Yes","Yes",""
"Emergency 4: Global Fighters for Life","4","1","Strategy","RTS","2006","Yes","Yes",""
"Emperor: Battle for Dune","4","1","Strategy","RTS","2001","No","Yes",""
"Empire Earth","10","1","Strategy","RTS","2001","No","Yes",""
"Empire Earth 3","8","1","Strategy","RTS","2007","No","Yes",""
"Empire Earth Gold Edition","10","1","Strategy","RTS","2001","No","Yes",""
"Empires Mod","64","1","FPS","Strategy","2008","Yes","Yes","Free"
"Empires: Dawn of The Modern World","8","1","Strategy","RTS","2003","No","Yes",""
"Enemy Territory: Quake Wars","32","1","FPS","Action","2007","Yes","Yes",""
"Etherlords 2","2","2","RPG","Turn-based","2003","Yes","Yes",""
"F.E.A.R.","4","1","FPS","Horror","2005","Yes","Yes",""
"F.E.A.R. Platinum","4","1","FPS","Horror","2005","Yes","Yes",""
"F1 2013","16","2","Racing","Simulation","2013","Yes","Yes",""
"F1 Challenge '99-'02","8","1","Racing","Simulation","2003","Yes","Yes",""
"Factorio","999","1","Strategy","RTS","2017","Yes","Yes",""
"Far cry","32","1","FPS","Arcade","2004","No","Yes",""
"Far Cry 2","16","1","FPS","Shooter","2008","Yes","Yes",""
"Far Cry 4","2","1","FPS","Action","2014","Yes","No",""
"Farm Hands","4","1","Simulator","Business","2007","Yes","Yes","Free"
"Fear Combat","64","1","FPS","Shooter","2006","Yes","Yes","Free"
"Feel The Snow","4","1","RPG","Survival","2016","Yes","Yes",""
"FIFA 08","4","4","Sports","Football","2007","Yes","Yes",""
"FIFA 11","10","3","Sports","Football","2010","Yes","No",""
"FIFA 16","22","4","Sports","Football","2015","Yes","No",""
"FIFA Football 2002","2","2","Sports","Football","2002","No","Yes",""
"Fistful of Frags","20","1","FPS","Wild West","2007","Yes","Yes","Free"
"Flatout","8","1","Racing","Arcade","2004","No","Yes",""
"FlatOut 2","8","1","Racing","Arcade","2006","Yes","Yes",""
"Fortress Forever","24","1","FPS","Action","2007","Yes","Yes","Free"
"Forts","8","1","Strategy","RTS","2017","Yes","Yes",""
"FreeCiv","32","32","Strategy","4X","1996","Yes","Yes","Free"
"Freedom Force","4","1","Strategy","RPG","2002","No","Yes",""
"Galcon 2: Galactic Conquest","8","1","Strategy","RTS","2014","Yes","No","Free"
"Game Stock Car Extreme","34","1","Racing","Simulation","2013","Yes","Yes",""
"Gang Beasts","8","8","Beat-em-up","Action","2014","No","No",""
"Gang Garrison 2","16","1","Action","Shooter","2008","Yes","Yes","Free"
"Garry's mod","16","1","FPS","Sandbox","2004","Yes","Yes",""
"Gas Guzzlers Extreme","8","1","Racing","Combat","2013","Yes","Yes",""
"Gas Guzzlers: Combat Carnage","8","1","Racing","Combat","2012","Yes","Yes",""
"Gauntlet Slayer Edition","4","4","Action","RPG","2014","Yes","Yes",""
"Gears of War","8","1","FPS","Action","2006","Yes","Yes",""
"GeneWars","4","1","Strategy","RTS","1996","No","Yes","Free"
"Gimbal","128","1","Action","Shooter","2013","Yes","Yes",""
"GoldenEye: Source","16","1","FPS","Action","2009","Yes","Yes","Free"
"Golf With Your Friends","12","1","Simulator","Mini Golf","2016","Yes","Yes",""
"Grand Prix Legends","20","1","Racing","Simulation","1998","No","Yes",""
"Grand Theft Auto 2","6","1","Action","Shooter","1999","No","Yes","Free"
"Grand Theft Auto IV","32","1","Action","Shooter","2008","Yes","Yes",""
"Grand Theft Auto V","30","1","Action","Shooter","2013","Yes","Yes",""
"Grim dawn","4","1","RPG","Action","2016","Yes","Yes",""
"Gun Bombers","10","1","Action","Bomberman","2015","Yes","Yes",""
"Guns of Icarus Online","32","1","FPS","Action","2012","Yes","No",""
"Half-Life","32","1","FPS","Action","1998","Yes","Yes",""
"Half-Life 2: Deathmatch","16","1","FPS","Action","2004","Yes","Yes",""
"Halo 2 PC","4","4","FPS","Shooter","2004","Yes","No","Free"
"Halo: Combat Evolved","16","1","FPS","Action","2003","Yes","Yes",""
"Hammerwatch","4","4","Action","RPG","2013","Yes","Yes",""
"HAWKEN","12","1","FPS","Other","2014","Yes","No","Free"
"Hedgewars","8","1","Strategy","Turn-based","2006","Yes","Yes","Free"
"Helldivers","4","4","Action","Shooter","2015","Yes","Yes",""
"Heretic","4","1","FPS","Action","1994","No","Yes","Free"
"Heretic II","32","1","FPS","Action","1998","Yes","Yes",""
"Heroes of Might and Magic 3","8","8","Strategy","Turn-based","1999","Yes","Yes",""
"Heroes of Might and Magic IV","8","8","Strategy","Turn-based","2002","No","Yes",""
"Heroes of Might and Magic IV: Complete","8","8","Strategy","Turn-based","2004","No","Yes",""
"Heroes of Might and Magic V","8","8","Strategy","Turn-based","2006","No","Yes",""
"Heroes of Newerth","10","1","Strategy","MOBA","2010","Yes","Yes","Free"
"Heroes of the Storm","10","1","Strategy","MOBA","2015","Yes","No","Free"
"HeXen II","16","1","FPS","Action","1997","Yes","Yes",""
"Hexen: Beyond Heretic","4","1","FPS","Action","1995","No","Yes","Free"
"Hidden in Plain Sight","2","4","Platformer","Minigames","2014","No","Yes",""
"Homefront: The Revolution","4","1","FPS","Action","2016","Yes","No",""
"Homeworld","8","1","Strategy","RTS","1999","Yes","Yes",""
"Homeworld 2","6","1","Strategy","RTS","2003","Yes","Yes",""
"Homeworld Remastered Collection","8","1","Strategy","RTS","2015","Yes","No",""
"Homeworld: Cataclysm","8","1","Strategy","RTS","2000","No","Yes",""
"Homeworld: Deserts of Kharak","6","1","Strategy","RTS","2016","Yes","No",""
"Impossible Creatures","8","1","Strategy","RTS","2004","Yes","Yes",""
